Calories,Carbs (g),Protein (g),Fat (g),Fiber (g),Other Key Nutrients,Unnamed: 8,Category_Breakfast,Category_Dinner,Category_Lunch,Dish_Aloo Fry (1/2 cup),Dish_Bread (2 slices),Dish_Butter (1 tsp),Dish_Carrot (1 medium),Dish_Chapati (1 piece),Dish_Chicken Biryani (1 cup),Dish_Chutney (2 tbsp),Dish_Coffee (black),Dish_Curd (1/2 cup),Dish_Dal Curry (1 cup),Dish_Idly (1 piece),Dish_Jam (1 tbsp),Dish_Milk (1 cup),Dish_Paneer Curry (1 cup),Dish_Pongal (1 serving),Dish_Raita (1/2 cup),Dish_Rice (1 cup),Dish_Sambar (1 cup),Dish_Scrambled Eggs (2),Dish_Tea (with milk),Dish_Vada (1 piece),Dish_Veg Pulao (1 cup)
58.0,12.0,1.6,0.4,0.5,"Sodium: 75 mg, Iron: 3.3% DV",,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
175.0,20.0,2.0,11.0,2.5,-,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
175.0,27.5,6.0,3.5,6.0,"Vitamin A: 23%, Iron: 27% DV",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
60.0,4.9,1.3,4.4,1.7,Vitamin C: 81% DV,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
212.0,29.0,5.5,8.2,1.0,"Calcium, Iron",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
140.0,27.5,5.0,1.5,2.0,-,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
180.0,2.0,12.0,14.0,0.0,"Vitamin A, Iron",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
35.0,0.0,0.0,4.0,0.0,"Vitamin A, E, K",,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50.0,13.0,0.0,0.0,0.0,-,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2.0,0.0,0.0,0.0,0.0,-,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55.0,6.0,1.5,2.0,0.0,Calcium,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
305.0,42.5,17.5,11.0,2.5,-,,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70.0,5.5,3.5,2.5,0.0,"Calcium, Vitamin B12",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
325.0,12.5,16.5,27.5,1.5,"Calcium, Iron",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
215.0,32.5,5.5,7.0,3.5,-,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25.0,6.0,1.0,0.0,2.0,"Vitamin A, Potassium",,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150.0,33.0,3.0,0.0,0.6,Iron,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
140.0,22.0,7.0,4.5,5.5,"Iron, Folate, Fiber",,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
165.0,22.5,2.0,9.0,3.0,-,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60.0,3.5,3.5,2.5,0.0,"Calcium, Vitamin B12",,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
85.0,15.0,2.5,1.5,2.0,"Fiber, Iron",,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125.0,12.0,8.0,6.0,0.0,"Calcium, Vitamin D",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
