Category,Dish,Calories,Carbs (g),Protein (g),Fat (g),Fiber (g),Other Key Nutrients,Unnamed: 8
Breakfast,Idly (1 piece),58 kcal,0.30000000000000004,0.10666666666666667,0.016,0.1,"Sodium: 75 mg, Iron: 3.3% DV",
,Vada (1 piece),150-200 kcal,0.5,0.13333333333333333,0.4,0.4,-,
,Sambar (1 cup),150-200 kcal,0.625,0.3333333333333333,0.12,1.0,"Vitamin A: 23%, Iron: 27% DV",
,Chutney (2 tbsp),60 kcal,0.12250000000000001,0.08666666666666667,0.17600000000000002,0.34,Vitamin C: 81% DV,
,Pongal (1 serving),212 kcal,0.7250000000000001,0.36666666666666664,0.32799999999999996,0.2,"Calcium, Iron",
,Bread (2 slices),130-150 kcal,0.625,0.26666666666666666,0.04,0.4,-,
,Scrambled Eggs (2),180 kcal,0.05,0.8,0.56,0.0,"Vitamin A, Iron",
,Butter (1 tsp),35 kcal,0.0,0.0,0.16,0.0,"Vitamin A, E, K",
,Jam (1 tbsp),50 kcal,0.325,0.0,0.0,0.0,-,
,Coffee (black),2 kcal,0.0,0.0,0.0,0.0,-,
,Tea (with milk),50-60 kcal,0.125,0.06666666666666667,0.08,0.0,Calcium,
Lunch,Chicken Biryani (1 cup),290-320 kcal,1.0,1.0,0.4,0.4,-,
,Raita (1/2 cup),60-80 kcal,0.125,0.2,0.08,0.0,"Calcium, Vitamin B12",
,Paneer Curry (1 cup),300-350 kcal,0.25,1.0,1.0,0.2,"Calcium, Iron",
,Veg Pulao (1 cup),200-230 kcal,0.75,0.3333333333333333,0.24,0.6000000000000001,-,
,Carrot (1 medium),25 kcal,0.15000000000000002,0.06666666666666667,0.0,0.4,"Vitamin A, Potassium",
Dinner,Rice (1 cup),150 kcal,0.8250000000000001,0.2,0.0,0.12,Iron,
,Dal Curry (1 cup),130-150 kcal,0.47500000000000003,0.4,0.16,1.0,"Iron, Folate, Fiber",
,Aloo Fry (1/2 cup),150-180 kcal,0.5,0.13333333333333333,0.32,0.6000000000000001,-,
,Curd (1/2 cup),60 kcal,0.07500000000000001,0.2,0.08,0.0,"Calcium, Vitamin B12",
,Chapati (1 piece),70-100 kcal,0.375,0.13333333333333333,0.04,0.4,"Fiber, Iron",
,Milk (1 cup),100-150 kcal,0.30000000000000004,0.5333333333333333,0.16,0.0,"Calcium, Vitamin D",
